address,current_status,epoch_220,epoch_221,epoch_222,epoch_223,epoch_224,epoch_225,epoch_226,epoch_227,epoch_228,epoch_229,epoch_230,epoch_231,epoch_232,epoch_233,epoch_234,epoch_235,epoch_236,epoch_237,epoch_238,epoch_239,epoch_240,epoch_241,epoch_242,epoch_243,epoch_244,epoch_245,epoch_246,epoch_247,epoch_248,epoch_249
gonka100xav7dpl82gxrtg72yjhpz2zn6f24gv035ted,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka100yl7qvcpdrt834zay8wusptg8g6yrv4p7fh4w,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka102yeygzzq74pudsa9nwvjh3q9x4q7wscr23hlw,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka103tuctlftrr5zzc2vgmu86vw4u6pus9wxnm8a4,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka105az9lyvju6l32qvl4xkzqru4cs4xuft8lh0e5,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka105fgwnqwd72m685xcalvvsdyzmf59khq607rlx,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka105qfr38n0rz0d2r8hererw9ws5qx7njcujezvu,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka107et3r7gxsrkce7wq42jjf5k98r5xvsfy6xsn5,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka108gphssdzk24czkrm9apwf50uvs8073u4kwn5t,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10cyq8zuplcwr5ntesxn52wp5ky3a7c3nrqdce8,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10e7qay76svkulq7wx3mez60jvdxj5pmjynmyrz,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10g4ak0ku3lezt0q3kk346updcyyz83369pqtgx,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10kjjhgzngn2yj9fgrcfu4wf5lj6xv05u7xhz53,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10pgvk2tumqy5n4v2h9dqtkxqes9p208qdy37ta,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10rk42wkre2wp24m3n8u2maa4p2nm3ev5r0fwcy,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10thh6z0wvq9c05j4z3f9qtpxxedruqn5ae350k,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka10ux22dq9a5dn5t4v370vzkww874yc6pmudxjen,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka123fment8nj6mrekwv9rh5zmevxjd7t05c8azrd,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
