address,current_status,consecutive_invalid_inferences,first_seen_performance_epoch,last_seen_performance_epoch,last_paid_epoch,first_unpaid_epoch_after_last_paid,matches_strict_bug_filter
gonka12sjs2wwerzfp25y2w9cqpwk9r8z4uddmlt5spw,INACTIVE,0,220,221,220,221,False
gonka15kf06ehfplnqtvgnndyfym9w9f63686cvw3nqj,ACTIVE,0,220,222,220,221,False
gonka19sftyj72xf8g4kulg7jngvfacw07a8yu0yrjrm,INACTIVE,0,220,221,220,221,False
gonka1mjcyendh6mej6w6s2xymklpenn6ggw46l78esp,INACTIVE,0,220,221,220,221,False
gonka1ve37whw9475rj3l0dy57xch9rnjcha9afv4f3s,INACTIVE,0,220,221,220,221,False
gonka14ued4vcdeluj9v9vmsmteap7vtg7t50640hvmf,INACTIVE,0,220,222,221,222,False
gonka1awufch9x3slh9h9t3exa36r23rwjknswldce09,INACTIVE,0,221,223,221,222,False
gonka1fh58x94xd6rdqz599svj9ftdt9rckg6ggxvn3p,INACTIVE,0,220,222,221,222,False
gonka1j62evzhlg556krdfhynpduchyl0px8qga8wfut,INACTIVE,0,220,222,221,222,False
gonka1p45pgtzjtjaq0nqxm0a6dstyeqa3lx5dpx253k,INACTIVE,0,220,222,221,222,False
gonka1sycnmyd9rfw0gptt3s604mg9zgpvhg05lgag4m,INACTIVE,0,220,222,221,222,False
gonka1tj5jr5439yx3juzdcx77zgyhkq53u7dtsn6vc5,INACTIVE,0,220,222,221,222,False
gonka1xtzmqjwf0au4ad5m3nmdu07262vjn605uxyjtu,INACTIVE,0,220,222,221,222,False
gonka14g5nf5z695era59sz6zat5mv7n4w73vp26cgx5,INACTIVE,0,220,223,222,223,False
gonka169ms5ewh68ervhaxslul5cmfaavnt57nkmrvgt,INACTIVE,0,222,223,222,223,False
gonka1dtnru3j85vee0vm20vkvd256nfd9t7jzuvnd27,INACTIVE,0,220,223,222,223,False
gonka1gxk3xjg43ryaht8ze0395m7ph4879gmsfd5emu,INACTIVE,0,220,223,222,223,False
gonka1k2dvwkg22kqmgh0s6xt8xuk4s4ak0k4py05cyr,INACTIVE,0,222,223,222,223,False
gonka1llxvtg0657ldmqn4l3t0ag496ff355j5kawagy,INACTIVE,0,220,223,222,223,False
gonka1n8sczgy8379gqx0z4xuwrv7g50tcml6r9whkxa,INACTIVE,0,220,225,222,223,False
gonka1p7ze99aywsyudnn38wrxjsgzhmcu64swe9zmua,INACTIVE,0,220,223,222,223,False
gonka1qkwzxe3hwrghhmgek5kvnyhyaw9akkc8mfwsaa,INACTIVE,0,221,231,222,223,False
gonka1sg7amslhnqrw6qyvkdt5f6ru8kakyw5uss0mj7,INACTIVE,0,222,223,222,223,False
gonka1wpy06qhy7j7a0zcsax0q94za5p0g9g3g2sc32y,INACTIVE,0,222,223,222,223,False
gonka105fgwnqwd72m685xcalvvsdyzmf59khq607rlx,INACTIVE,0,222,224,223,224,False
gonka132jlm2gj75cqyuvnnufv5uhnlmfm06jvm25zuv,INACTIVE,0,223,224,223,224,False
gonka18hns0dspklh6r89nyeg8qaph4vhfkd63tl7a37,ACTIVE,0,220,225,223,224,False
gonka19pe5zksljpfjydt64xz5yv7jxsr3cn2tqt8k9r,INACTIVE,0,222,224,223,224,False
gonka1aazyzjuywye4530acgjgw0stu4ydpt9hv4afut,ACTIVE,0,220,225,223,224,False
gonka1g58w4wu7yyla55vfmhm96v9jheyetnxr02jzz7,INACTIVE,0,220,224,223,224,False
gonka1hmj9lrcxt9zds40uq94gga2ps7t7x75eky6cvq,INACTIVE,0,223,224,223,224,False
gonka1l2pu0eqvsah7ap5hy6rdn6dxse37wy6cy4k2ef,INACTIVE,0,222,224,223,224,False
gonka1m9sf2rpg635efaw59djqlxkqew9sxvmqd6g343,ACTIVE,0,220,225,223,224,False
gonka1p92n7yphf8eqcygcwkpvgggt7d9ql69mchllcr,INACTIVE,0,220,224,223,224,False
gonka1t8x0m85qvyfzvyevwrj2m28ytf6w3kmlf5r7ez,ACTIVE,0,220,224,223,224,False
gonka1txq9e2jzdfhlnugd63u5630vqnzucwavrqnu4d,INACTIVE,0,223,224,223,224,False
gonka1ucxu8fuqv5vt8rrwrmt45lkjx5u3e99ajtgv4h,INACTIVE,0,222,224,223,224,False
gonka1w2d6hlurl8hn47emf59eenam99gng7j7hmafj5,INACTIVE,0,223,224,223,224,False
gonka149q5us80a94u45uuedufucdmn8ud5xq4de9g9e,INACTIVE,0,223,225,224,225,False
gonka165pppmxfxxzu4dn33twqwq2rz5cnem2srprlnn,INACTIVE,0,223,225,224,225,False
gonka183y38fjefqfgxafe05fw24rjtj4elzy84wxwdl,INACTIVE,0,222,225,224,225,False
gonka1g9n5yek0sk84qpx0lwc7hq6p3v2fqr5ggml3gg,INACTIVE,0,220,225,224,225,False
gonka1jxtdrqyjc52j7wm2h4ec8g7enjz9r3qjy2hn8g,INACTIVE,0,224,225,224,225,False
gonka1kadhltjszhue262r7z7khldv90ru8cvy42zv29,INACTIVE,0,223,225,224,225,False
gonka1rh9eca49arpw96m2zmvr2usk9qdy6q5gns8gj7,INACTIVE,0,224,225,224,225,False
gonka1xxmpgunsrg9ayx8zejnjw8zu76czmc8fre3ece,INACTIVE,0,224,225,224,225,False
gonka1zr82xvxge0n8hf2u9ysrvfgr8u5lcvrqwc6ufx,INACTIVE,0,220,225,224,225,False
gonka13l0e92dedmwm0a2zcxnctvqlcl2tw7hhkdmsnx,INACTIVE,0,222,226,225,226,False
gonka14sdm8urd88v49ns7n6hz99chpunxjkr0w3m8y7,INACTIVE,0,225,226,225,226,False
gonka1aumu6ctfvp6hdccmcvrhrz8ete926zleyhacr5,INACTIVE,0,223,226,225,226,False
gonka1d5nh80xxh7fkf0hmqlxqfq6vls8cq3j0fgg8f3,INACTIVE,0,224,226,225,226,False
gonka1fnwznrjccpukhe3u5dnqqnr02nhr5hq89jhghs,INACTIVE,0,224,226,225,226,False
gonka1ha7fpwwu9st0wgyyz9ahd3xchk05nx7mtj4ng8,INACTIVE,0,225,226,225,226,False
gonka1hhtht6rssq5hy22r7kyrrtkglvslxtkqt5yau8,INACTIVE,0,223,226,225,226,False
gonka1jvmumx6rwyq302m6y6z5hdkc4cgu845mcgjwud,INACTIVE,0,220,226,225,226,False
gonka1k4ufjpu9h79zy4hdtly8dcgyfkjmeunqtk3k9e,ACTIVE,0,220,226,225,226,False
gonka1kyft3snetrh9fnetvwrzt4fr5dwm5szl9sx9hq,INACTIVE,0,220,226,225,226,False
gonka1kyrhxw6frcjk4hh8rdeswxftwxuxwgphxnk8kk,INACTIVE,0,222,226,225,226,False
gonka1mu29dgr7yx6l3x46c535p2aymzp0hns2fpz5e3,INACTIVE,0,224,226,225,226,False
gonka1pgn9v9studsuhud80h8hphdq8nzxf4380vm7jy,INACTIVE,0,223,226,225,226,False
gonka1pucvx8mx0nux5gcd2wgfyg9mwkaaqaqplw674l,INACTIVE,0,222,226,225,226,False
gonka1t9scyr8q6dh3xsajedllt6dn4szd06fvnqjt2y,INACTIVE,0,225,226,225,226,False
