address,epoch,weight,confirmation_weight,expected_effective_weight,fixed_epoch_reward,total_epoch_weight,total_requests,missed_requests,downtime_passed,actual_rewarded_coins,expected_reward_base_units,compensation_base_units,compensation_gnk
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,247,2046,0,2046,287379121027086,881604,126,1,True,666940805193,666940805193,0,0
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,247,3108,0,3108,287379121027086,881604,178,0,True,1013124155689,1013124155689,0,0
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,247,421,0,421,287379121027086,881604,23,0,True,137234642710,137234642710,0,0
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,247,3102,0,3102,287379121027086,881604,170,7,True,1011168317550,1011168317550,0,0
gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,247,2426,0,2426,287379121027086,881604,146,0,True,790810553958,790810553958,0,0
gonka12gc47yq8m7rnsa3aucq8mlzm7men8jaac7qkkz,247,3133,0,3133,287379121027086,881604,170,26,False,0,0,0,0
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,247,2337,0,2337,287379121027086,881604,124,1,True,761798954905,761798954905,0,0
gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,247,2685,0,2685,287379121027086,881604,165,1,True,875237566932,875237566932,0,0
gonka17ef5hl0588tmjm9ypw7t2kge78wrkcpvyspc0p,247,2304,0,2304,287379121027086,881604,121,0,True,751041845144,751041845144,0,0
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,247,1699,0,1699,287379121027086,881604,88,0,True,553828166189,553828166189,0,0
gonka17tlh09e32xpv2uj433ytjnwwd8fh24jclpzm5s,247,1923,0,1923,287379121027086,881604,87,0,True,626846123355,626846123355,0,0
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,247,1792,0,1792,287379121027086,881604,96,2,True,584143657334,584143657334,0,0
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,247,627,0,627,287379121027086,881604,39,0,True,204385085462,204385085462,0,0
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,247,1184,0,1184,287379121027086,881604,66,1,True,385952059310,385952059310,0,0
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,247,2549,0,2549,287379121027086,881604,131,0,True,830905235795,830905235795,0,0
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,247,931,0,931,287379121027086,881604,54,0,True,303480884474,303480884474,0,0
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,247,425,0,425,287379121027086,881604,19,2,True,138538534803,138538534803,0,0
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,247,2794,0,2794,287379121027086,881604,190,0,True,910768626446,910768626446,0,0
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,247,627,0,627,287379121027086,881604,38,0,True,204385085462,204385085462,0,0
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,247,6399,0,6399,287379121027086,881604,368,1,True,2085901374599,2085901374599,0,0
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,247,1650,0,1650,287379121027086,881604,87,0,True,537855488058,537855488058,0,0
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,247,2126,0,2126,287379121027086,881604,144,0,True,693018647038,693018647038,0,0
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,247,2215,0,2215,287379121027086,881604,111,0,True,722030246091,722030246091,0,0
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,247,2452,0,2452,287379121027086,881604,123,0,True,799285852557,799285852557,0,0
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,247,1680,0,1680,287379121027086,881604,92,1,True,547634678750,547634678750,0,0
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,247,2391,0,2391,287379121027086,881604,128,0,True,779401498150,779401498150,0,0
gonka1lr9mj6dgkv0h76c8y8w0l3esztyg9v2q8d6d8d,247,2409,0,2409,287379121027086,881604,121,0,True,785269012566,785269012566,0,0
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,247,2529,0,2529,287379121027086,881604,112,1,True,824385775333,824385775333,0,0
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,247,1053,0,1053,287379121027086,881604,57,0,True,343249593288,343249593288,0,0
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,247,1640,0,1640,287379121027086,881604,92,3,True,534595757828,534595757828,0,0
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,247,1640,0,1640,287379121027086,881604,81,0,True,534595757828,534595757828,0,0
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,247,411,0,411,287379121027086,881604,31,3,True,133974912480,133974912480,0,0
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,247,658,0,658,287379121027086,881604,30,0,True,214490249177,214490249177,0,0
gonka1slndy4rsmld579628302rj5gz8z9qf4v6ppmc4,247,2166,0,2166,287379121027086,881604,119,0,True,706057567960,706057567960,0,0
