address,epoch_245_035_bug_fix_weight_minus_actual_weight,epoch_246_035_bug_fix_weight_minus_actual_weight,epoch_247_035_bug_fix_weight_minus_actual_weight,epoch_248_035_bug_fix_weight_minus_actual_weight,epoch_249_035_bug_fix_weight_minus_actual_weight,epoch_250_035_bug_fix_weight_minus_actual_weight,epoch_251_035_bug_fix_weight_minus_actual_weight,epoch_252_035_bug_fix_weight_minus_actual_weight,epoch_253_035_bug_fix_weight_minus_actual_weight,epoch_254_035_bug_fix_weight_minus_actual_weight,epoch_255_035_bug_fix_weight_minus_actual_weight,total_035_bug_fix_weight_minus_actual_weight
gonka1slndy4rsmld579628302rj5gz8z9qf4v6ppmc4,-100,-30,,-1388,1388,1388,1388,,,,,2646
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,,,,-969,969,969,427,508,,,,1904
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,-67,,,-1791,1791,1791,,,,,,1724
gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,-116,-48,-9,-1669,1669,1669,,,,,-4,1492
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,-319,,,,1801,,,,,,,1482
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,,-84,,,1363,,-12,,,,,1267
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,-9,,,,1992,,,-212,-18,,-524,1229
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,-462,-503,-487,-115,1398,1516,,-161,,,,1186
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,-271,-7137,-209,-1876,1725,1758,1769,1769,1769,1769,,1066
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,,,,,576,,,,,,,576
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,,,,,439,,,,,,,439
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,-24,,,,402,,,-6,,,,372
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,-33,,,,402,-3,,-6,,,,360
gonka1wzujgkw64xvz3vqttg7ktl5tlsdga7l53g6d55,,,,,,,,,,,,
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,,,,,,,,,,,,
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,,,,,,,,,,,,
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,,,,,,,,,,,,
gonka1qv2dwvqxt542k5ewhggm2wtcpadvzg6mzupzg8,,,,,,,,,,,,
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,,,,,,,,,,,,
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,,,,,,,,,,,,
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,,,,,,,,,,,,
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,,,,,,,,,,,,
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,,,,,,,,,,,,
gonka1pcu4wfdv2jtpfsnhgjk4zp7d46z47928xj73st,,,,,,,,,,,,
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,,,,,,,,,,,,
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,,,,,,,,,,,,
gonka1lyc347ysjruw7hvvejekqwu0y62cq0898dzarl,,,,,,,,,,,,
gonka1lwl6qhrdqw43sqc2y4eclfrngf799rnm7mmx87,,,,,,,,,,,,
gonka1l6pp6p5hgaa69rj0eazn73f7gkawue94fq5v9g,,,,,,,,,,,,
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,,,,,,,,,,,,
gonka1l0enytn32rklk95dxrdt3v39hktxdw79trvgj5,,,,,,,,,,,,
gonka1kdmstpljv33v8lz457lmj8f9g995l7ygwm460s,,,,,,,,,,,,
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,,,,,,,,,,,,
gonka1jcelp2ad2x0jf2vnyhkhd6wquug0zpd09sxxw4,,,,,,,,,,,,
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,,,,,,,,,,,,
gonka1gt0406jz45mjt0jujqtfd3m9lcyah93t0wj084,,,,,,,,,,,,
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,,,,,,,,,,,,
gonka1ecercvenlsnghx4yakvdpdq2mantyh5ythhn29,,,,,,,,,,,,
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,,,,,,,,,,,,
gonka1e94a7r2tn3n8ewa3mha3vjnq2dkvgt5stfqgqg,,,,,,,,,,,,
gonka1e38cgywjkf4hejnf9utmpguq3qug0s5rd45kqm,,,,,,,,,,,,
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,,,,,,,,,,,,
gonka1c6y9p4w87equy52va4us3qzycz9w28ua9693gl,,,,,,,,,,,,
gonka19kue8dlczfr0vl94tta3l9k5s08hwuu0zd5ewv,,,,,,,,,,,,
gonka18tm9tu9rak460pjdpj6xvfeffk474h6xhgme3c,,,,,,,,,,,,
gonka17tlh09e32xpv2uj433ytjnwwd8fh24jclpzm5s,,,,,,,,,,,,
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,,,,,,,,,,,,
gonka17ef5hl0588tmjm9ypw7t2kge78wrkcpvyspc0p,,,,,,,,,,,,
gonka175dvjafzhfxwgvrj83cm9ekmgh2a4u7nqv4azu,,,,,,,,,,,,
gonka12vq65qqgep5x2zvjxqzqtnsw2hpyz92czen8z5,,,,,,,,,,,,
gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,,,,,,,,,,,,
gonka123vh2t9er866647lsn6kclt8lfq2l9kwy4le76,,,,,,,,,,,,
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,,,,,,,,,,,,
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,,,,,,,,,,,,
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,,,-4,,,,,,,,,-4
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,-22,,,,,,,,,,,-22
gonka1qsuduuah26qpym3te4tr6u8lh3hmecaxn9j7te,-31,,,,,,,,,,,-31
gonka1975m3w08ywrc89aqcr9m8z6z70a38jf64vwte8,,-43,,,,,,,,,,-43
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,-13,-50,,,,,,,,,,-63
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,,,,,,-93,,,,,,-93
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,-22,,-73,,,,,,,,,-95
gonka1xfg6ed596n8ka7tjp7j604prf5n4mgv3h9d02t,-104,,,,,,,,,,,-104
gonka1lr9mj6dgkv0h76c8y8w0l3esztyg9v2q8d6d8d,-94,-87,,,,-2,,,,,,-183
gonka1yewc6rmr5zhcpy6dnpt4wup990j299qt03x40s,-66,-176,,,,,,,,,,-242
gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,-12,-18,-243,,-7,-12,,-12,,,,-304
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,-293,-458,-689,-2808,1175,1341,1363,,,,,-369
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,,,,-421,,,,,,,,-421
gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,-171,-355,-419,-1397,1362,1362,1362,-851,,,-1322,-429
gonka107et3r7gxsrkce7wq42jjf5k98r5xvsfy6xsn5,,-445,,,,,,,,,,-445
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,-92,-2,,-675,297,,,,,,,-472
gonka19dh0tamdjnhtccfdpmsnty3gxfpp0wkdusl0xr,-17,,-491,,,,,,,,,-508
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,,,,,-32,,-20,-28,,-506,,-586
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,-53,-13,-209,-46,-3,-59,-109,-60,,-49,,-601
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,,,,,,,-208,-216,,-234,,-658
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,-12,-14,,-658,,-3,,,,,,-687
gonka1uawu7tlxcuss8xk9m63fpjm86y58chsg5xwsjt,,,-873,,,,,,,,,-873
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,-675,-974,,,713,,,,,,,-936
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,-53,-419,-64,,-83,,,,,-336,,-955
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,-1324,-1476,-150,,2491,-572,,,,,,-1031
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,-86,,,,,,,-953,,,,-1039
gonka1s43peau7vafujfxyape603yklhdzjh2stq702z,-1073,,,,,,,,,,,-1073
gonka1yukev873tps58s6rlkh6czs5rrqp2sdqw7pm58,,-1184,,,,,,,,,,-1184
gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,-71,-8,-45,-1170,,,,,,,,-1294
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,,,,,,-1441,,,,,,-1441
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,-6,-23,-13,-1338,,-72,,,,,,-1452
gonka125xgn4z89quhrjhv6qfgn83wqwlaykxs8upjrt,,,-1484,,,,,,,,,-1484
gonka1p3hklp6flhdffdkwr70azcsum77fha3ecqwgg0,-1501,,,,,,,,,,,-1501
gonka12kqft8tme0z5zm6skx8zwja7aq8knqc0udfcwp,,-1501,,,,,,,,,,-1501
gonka1fkrsesmn2hdj30fhwyam6h4f2e77un36xalhvl,-47,-113,-91,-1291,,,,,,,,-1542
gonka1qx4f2vzhccv0ndhssfgafvf55xf4smuzjmkvky,,,-1559,,,,,,,,,-1559
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,-201,-131,-112,-207,209,202,235,-4,-1411,-70,-70,-1560
gonka1xmgcpaw6n57ewn6s2fhggxaakemaaxuv4pdpmq,-1560,,,,,,,,,,,-1560
gonka1l7p83akwkcxtksnwve23x5wp47zammznm4qus8,,,-1569,,,,,,,,,-1569
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,-38,-59,-1503,,,,,,,,,-1600
gonka15pgw0fe32rv78hdj2clch9acy0mv08j7xkrmxz,,-1620,,,,,,,,,,-1620
gonka1wfn87ruutktth7l8ne3rvhmlsscqxah09kua02,,,-1630,,,,,,,,,-1630
gonka1sq6myvv8r263v4ll5l3ny790nsg5s4507crtqr,-1630,,,,,,,,,,,-1630
gonka13kd0e5393704ummmwf7pqvphlm5qsqdpe3kal2,,-1637,,,,,,,,,,-1637
gonka1yrfq267gf5jz76m3j5sln7f5h00t9g6fmat4gp,,-1640,,,,,,,,,,-1640
gonka1upq4e3ahzea8mu5mhrdptff94xru98lx47h43z,,-1650,,,,,,,,,,-1650
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,,,,-1650,,,,,,,,-1650
gonka17akw9frq5grupdh9fwtc4mym3fgcujf9esdmta,-1668,,,,,,,,,,,-1668
gonka1x20c5d9wzatlr0t69xjm05x9uemq9mnk00udfa,,-1670,,,,,,,,,,-1670
gonka1dhn7hjn6udpyv6gkhfulnalufv4947a4e9kyne,-1670,,,,,,,,,,,-1670
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,,,,-2337,659,,,,,,,-1678
gonka1edyd5lny4esrc35f6egjukmnfseyyyj4vn54mc,-1688,,,,,,,,,,,-1688
gonka12fdlw5g8wex6v74nd42vfhnympsz5kn8p3adh5,-1699,,,,,,,,,,,-1699
gonka1369ax8kr4ma8zu708jr3x2r902lfs8tcguyxl8,,,-1701,,,,,,,,,-1701
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,,,,,,,,,,-1705,,-1705
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,,,,-2391,673,,,,,,,-1718
gonka19qkysq3adu5lrasgvgy7ecd78erz7jndye92jv,,-1739,,,,,,,,,,-1739
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,,,,-2452,690,,,,,,,-1762
gonka1jcxsgcnctv69xd9v35qy45m45pg3wwhn0f8pl2,,-1770,,,,,,,,,,-1770
gonka1fwjwxw6cvspwautdrhr2jf4mfayy074t5npwnx,-1772,,,,,,,,,,,-1772
gonka1nvvrc06zpk7cwmrekehlr8yqw4mgdfq94dc4ay,,-1813,,,,,,,,,,-1813
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,,,,-2549,719,,,,,,,-1830
