address,epoch_245_chain_expected_delta_gnk,epoch_246_chain_expected_delta_gnk,epoch_247_chain_expected_delta_gnk,epoch_248_chain_expected_delta_gnk,epoch_249_chain_expected_delta_gnk,epoch_250_chain_expected_delta_gnk,epoch_251_chain_expected_delta_gnk,epoch_252_chain_expected_delta_gnk,epoch_253_chain_expected_delta_gnk,epoch_254_chain_expected_delta_gnk,epoch_255_chain_expected_delta_gnk,total_chain_expected_delta_gnk
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,,20.861885309,23.144084638,,,,,,,,,44.005969947
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,0.935351086,5.057426742,,,,,,,,,,5.992777828
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,,,,,,,,,,,,
gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,,,,,,,,,,,,
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,,,,,,,,,,,,
gonka1yukev873tps58s6rlkh6czs5rrqp2sdqw7pm58,,,,,,,,,,,,
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,,,,,,,,,,,,
gonka1yrfq267gf5jz76m3j5sln7f5h00t9g6fmat4gp,,,,,,,,,,,,
gonka1ym8g5f34h5zu4p4d4ldjnycfkty9qxpmyx5a3m,,,,,,,,,,,,
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,,,,,,,,,,,,
gonka1yewc6rmr5zhcpy6dnpt4wup990j299qt03x40s,,,,,,,,,,,,
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,,,,,,,,,,,,
gonka1y4kyhqy022gt4kklxxflgqkutnx96ssww66zg6,,,,,,,,,,,,
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,,,,,,,,,,,,
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,,,,,,,,,,,,
gonka1xmgcpaw6n57ewn6s2fhggxaakemaaxuv4pdpmq,,,,,,,,,,,,
gonka1xfg6ed596n8ka7tjp7j604prf5n4mgv3h9d02t,,,,,,,,,,,,
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,,,,,,,,,,,,
gonka1x20c5d9wzatlr0t69xjm05x9uemq9mnk00udfa,,,,,,,,,,,,
gonka1wzujgkw64xvz3vqttg7ktl5tlsdga7l53g6d55,,,,,,,,,,,,
