address,epoch_245_confirmation_minus_effective_reward_gnk,epoch_246_confirmation_minus_effective_reward_gnk,epoch_247_confirmation_minus_effective_reward_gnk,epoch_248_confirmation_minus_effective_reward_gnk,epoch_249_confirmation_minus_effective_reward_gnk,epoch_250_confirmation_minus_effective_reward_gnk,epoch_251_confirmation_minus_effective_reward_gnk,epoch_252_confirmation_minus_effective_reward_gnk,epoch_253_confirmation_minus_effective_reward_gnk,epoch_254_confirmation_minus_effective_reward_gnk,epoch_255_confirmation_minus_effective_reward_gnk,total_confirmation_minus_effective_reward_gnk
gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,-259.715818240,-263.302279741,0E-9,39123.343155201,48065.566550384,326.796706204,,,,,,86992.688313808
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,-937.221788273,-950.164049102,-979.874907336,30168.481796743,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,27301.221052032
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,0E-9,-1228.638609068,-1267.057140657,0,9418.21620886,13021.145921271,,,,,,19943.666380406
gonka1dzdmx5ljrwkelrmgd7suv2q43epn293qacpgqn,,0E-9,0E-9,0,5907.818380621,5720.029265582,,,,,,11627.847646203
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,646.639384191,645.454087912,641.514909393,683.068805643,817.760926282,763.73332226,831.999419426,0E-9,0E-9,0E-9,0E-9,5030.170855107
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,,,,0,3035.5689033,0,,94.299973353,,0,,3129.868876653
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,0E-9,0E-9,0E-9,1135.882178517,0E-8,0E-9,813.807012297,109.167086269,176.425691642,413.952684477,34.770788753,2684.005441955
gonka1vcvn2p5gczr5pynqq0ca0933tdrf5w64sjgtdg,0,,0E-9,2481.939374157,0E-9,0E-9,,,,,,2481.939374157
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,0E-9,315.773082186,0E-9,0,0E-9,0E-9,724.462079501,758.647533371,0E-9,0E-9,0E-9,1798.882695058
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,0E-9,-146.033197167,-146.361887356,0,0E-9,0E-9,0E-9,980.379903147,280.123632686,32.313937685,520.354512241,1520.776901236
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,0E-9,0E-9,0E-9,0,775.864256434,380.41745179,14.553925704,0E-9,67.160075911,59.335075231,0E-9,1297.330785070
gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,0E-9,0E-9,0E-9,0E-9,1242.934538808,,,,,,,1242.934538808
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,-937.533571968,0E-9,0E-9,0E-9,0E-9,0E-9,0E-8,2091.590399955,0E-9,0E-9,0E-9,1154.056827987
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,-141.238014001,0E-9,-148.317725495,0E-9,0E-8,0E-9,1443.264299005,0E-9,0E-9,0E-9,0E-9,1153.708559509
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,,,,,,0E-9,0E-9,0E-9,0E-9,807.012736832,313.661490209,1120.674227041
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,,,,,,,,193.697242563,402.264496130,215.333395089,293.619993914,1104.915127696
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,-564.952056005,1629.755767521,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0,,,1064.803711516
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,0E-9,0E-9,0E-8,0E-9,0E-9,0E-9,136.645191334,166.086890005,106.481778388,213.940552947,370.888413366,994.042826040
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,,,,,0E-9,0E-9,358.18828261,372.952146864,0E-8,93.041855057,0E-9,824.182284531
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,,,,,,,,123.609424530,126.316619459,67.692128081,181.822249521,499.440421591
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,0E-9,0,0E-9,0E-9,0E-9,0E-9,0E-9,135.078340209,89.778754326,27.856842832,48.051298346,300.765235713
gonka1nvvrc06zpk7cwmrekehlr8yqw4mgdfq94dc4ay,,205.774050553,,,,,,,,,,205.774050553
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,,,,0,0E-8,0E-9,12.12827142,0E-9,2.783837343,163.241098993,0,178.153207756
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-8,140.235806177,0E-9,36.461035428,176.696841605
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,,0E-9,0E-9,0,25.991452590,0E-9,37.597641403,39.928817546,0E-9,25.349726977,0E-9,128.867638516
gonka1m27e6qup7q8jmvnrn29kahd7vlx6r4l84z4thz,115.671750981,0E-9,0E-9,0,0,0,,,,,,115.671750981
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,,0,0,0,0E-9,,0,107.467987650,,0,,107.467987650
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,4.175756015,96.106107769,0E-9,100.281863784
