address,epoch_245_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_246_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_247_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_248_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_249_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_250_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_251_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_252_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_253_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_254_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_255_confirmation_plus_poc_slot_minus_effective_reward_gnk,total_confirmation_plus_poc_slot_minus_effective_reward_gnk
gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,,,,39123.343155201,48065.566550384,326.796706204,,,,,,87515.706411789
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,,,,31174.510620734,,,,,,,,31174.510620734
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,,,,1300.876260429,9418.21620886,13021.145921271,,,,,,23740.238390560
gonka1dzdmx5ljrwkelrmgd7suv2q43epn293qacpgqn,,,,,5907.818380621,5720.029265582,,,,,,11627.847646203
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,646.639384191,645.454087912,641.514909393,683.068805643,817.760926282,763.73332226,831.999419426,,,,,5030.170855107
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,,,,,3035.5689033,,,94.299973353,,,,3129.868876653
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,,,,1135.882178517,,,813.807012297,109.167086269,176.425691642,413.952684477,34.770788753,2684.005441955
gonka1vcvn2p5gczr5pynqq0ca0933tdrf5w64sjgtdg,,,,2481.939374157,,,,,,,,2481.939374157
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,,2202.509346021,,,,,,,,,,2202.509346021
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,,,,2141.576328914,,,,,,,,2141.576328914
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,,315.773082186,,332.665552577,,,724.462079501,758.647533371,,,,2131.548247635
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,,,,,,,,2091.590399955,,,,2091.590399955
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,,,,150.268443769,,,,980.379903147,280.123632686,32.313937685,520.354512241,1963.440429528
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,,,,665.331105154,775.864256434,380.41745179,14.553925704,,67.160075911,59.335075231,,1962.661890224
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,,,,1608.775967041,,,,,4.175756015,96.106107769,,1709.057830825
gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,,,,711.181387551,,,,410.757091137,,260.182912047,158.400259875,1540.521650610
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,,,,,,,1443.264299005,,,,,1443.264299005
gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,,,,,1242.934538808,,,,,,,1242.934538808
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,,,,,,,,408.633217863,,807.569873688,,1216.203091551
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,,,,901.610662619,,,,,27.490393766,111.984508183,102.622119584,1143.707684152
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,,,,,,,,,,807.012736832,313.661490209,1120.674227041
