address,epoch_245_inference_slot_weight,epoch_246_inference_slot_weight,epoch_247_inference_slot_weight,epoch_248_inference_slot_weight,epoch_249_inference_slot_weight,epoch_250_inference_slot_weight,epoch_251_inference_slot_weight,epoch_252_inference_slot_weight,epoch_253_inference_slot_weight,epoch_254_inference_slot_weight,epoch_255_inference_slot_weight,total_inference_slot_weight
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,,6399,6399,6399,,,,,,,,19197
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,3102,3102,3102,3102,,,,,,,,12408
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,3006,3006,3006,3006,,,,,,,,12024
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,,3887,3887,3887,,,,,,,,11661
gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,2426,2426,2426,2426,,,,,,,,9704
gonka12gc47yq8m7rnsa3aucq8mlzm7men8jaac7qkkz,3133,3133,3133,,,,,,,,,9399
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,,3108,3108,3108,,,,,,,,9324
gonka17ef5hl0588tmjm9ypw7t2kge78wrkcpvyspc0p,2304,2304,2304,2304,,,,,,,,9216
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,2046,2046,2046,2046,,,,,,,,8184
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,2746,2725,,2694,,,,,,,,8165
gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,2685,2685,2685,,,,,,,,,8055
gonka17tlh09e32xpv2uj433ytjnwwd8fh24jclpzm5s,1923,1923,1923,1923,,,,,,,,7692
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,2337,2337,2337,,,,,,,,,7011
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,1699,1699,1699,1699,,,,,,,,6796
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,2314,,2215,2215,,,,,,,,6744
gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,,2125,2125,2125,,,,,,,,6375
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,2117,,2126,2126,,,,,,,,6369
gonka1fkrsesmn2hdj30fhwyam6h4f2e77un36xalhvl,2061,2061,2061,,,,,,,,,6183
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,,2956,2872,,,,,,,,,5828
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,,2794,2794,,,,,,,,,5588
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,,1792,1792,1792,,,,,,,,5376
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,2644,2644,,,,,,,,,,5288
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,,2549,2549,,,,,,,,,5098
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,,,2529,2529,,,,,,,,5058
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,2531,,2391,,,,,,,,,4922
gonka1lr9mj6dgkv0h76c8y8w0l3esztyg9v2q8d6d8d,,,2409,2409,,,,,,,,4818
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,,,,4807,,,,,,,,4807
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,2329,,2452,,,,,,,,,4781
gonka129ks6ra4ddy8ppsfk0gr8yu24sqk3nanmm34cs,2247,2247,,,,,,,,,,4494
gonka14zg378dzun4p2zhyuaq59y2q0e340wzahgz97q,2187,2187,,,,,,,,,,4374
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,,2159,2159,,,,,,,,,4318
gonka1c6y9p4w87equy52va4us3qzycz9w28ua9693gl,2065,2065,,,,,,,,,,4130
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,,2467,,1553,,,,,,,,4020
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,931,931,931,931,,,,,,,,3724
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,1812,1812,,,,,,,,,,3624
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,,1184,1184,1184,,,,,,,,3552
gonka1369ax8kr4ma8zu708jr3x2r902lfs8tcguyxl8,1701,1701,,,,,,,,,,3402
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,,,1680,1680,,,,,,,,3360
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,,,1640,1640,,,,,,,,3280
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,,,1640,1640,,,,,,,,3280
gonka1uzk2scggfzghr9a5j92l00gzw4jx4adc66977y,,,,3082,,,,,,,,3082
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,3007,,,,,,,,,,,3007
gonka168yvlgt9jg86frg2z90cc8w4pz9hnd7f8lshux,1491,1491,,,,,,,,,,2982
gonka125xgn4z89quhrjhv6qfgn83wqwlaykxs8upjrt,1484,1484,,,,,,,,,,2968
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,685,685,,1570,,,,,,,,2940
gonka105qfr38n0rz0d2r8hererw9ws5qx7njcujezvu,2767,,,,,,,,,,,2767
gonka15sptlamre9vq4m5t7pa7je5r2pc34kmlwvj0jz,2743,,,,,,,,,,,2743
gonka10g4ak0ku3lezt0q3kk346updcyyz83369pqtgx,,2642,,,,,,,,,,2642
gonka19dh0tamdjnhtccfdpmsnty3gxfpp0wkdusl0xr,2571,,,,,,,,,,,2571
gonka1m27e6qup7q8jmvnrn29kahd7vlx6r4l84z4thz,,,,2544,,,,,,,,2544
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,,,,2460,,,,,,,,2460
gonka188qynuf5zs5966vzlrf2q2tj7h7laa995vrxr3,,2452,,,,,,,,,,2452
gonka1elw9xd79mpsrt7jqwkweg6yv02nvda49xhcej2,2408,,,,,,,,,,,2408
gonka1hytku6t3cfd7wppyrjvu357jjqpsgsw6wcprcy,2307,,,,,,,,,,,2307
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,1317,,960,,,,,,,,,2277
gonka19kue8dlczfr0vl94tta3l9k5s08hwuu0zd5ewv,2196,,,,,,,,,,,2196
gonka1slndy4rsmld579628302rj5gz8z9qf4v6ppmc4,,,2166,,,,,,,,,2166
gonka10kjjhgzngn2yj9fgrcfu4wf5lj6xv05u7xhz53,2065,,,,,,,,,,,2065
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,,,2055,,,,,,,,,2055
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,,1063,,984,,,,,,,,2047
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,2015,,,,,,,,,,,2015
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,,,,1988,,,,,,,,1988
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,,627,627,627,,,,,,,,1881
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,,627,627,627,,,,,,,,1881
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,911,911,,,,,,,,,,1822
gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,,911,911,,,,,,,,,1822
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,450,450,448,448,,,,,,,,1796
gonka1gt0406jz45mjt0jujqtfd3m9lcyah93t0wj084,1772,,,,,,,,,,,1772
gonka1jcxsgcnctv69xd9v35qy45m45pg3wwhn0f8pl2,1770,,,,,,,,,,,1770
gonka19qkysq3adu5lrasgvgy7ecd78erz7jndye92jv,1739,,,,,,,,,,,1739
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,894,,,835,,,,,,,,1729
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,,,,1670,,,,,,,,1670
gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,833,833,,,,,,,,,,1666
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,,,,1650,,,,,,,,1650
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,,,1650,,,,,,,,,1650
gonka13kd0e5393704ummmwf7pqvphlm5qsqdpe3kal2,1637,,,,,,,,,,,1637
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,,,,1620,,,,,,,,1620
gonka15pgw0fe32rv78hdj2clch9acy0mv08j7xkrmxz,1620,,,,,,,,,,,1620
gonka1qx4f2vzhccv0ndhssfgafvf55xf4smuzjmkvky,,1559,,,,,,,,,,1559
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,,,,1540,,,,,,,,1540
gonka12kqft8tme0z5zm6skx8zwja7aq8knqc0udfcwp,1501,,,,,,,,,,,1501
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,,462,449,449,,,,,,,,1360
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,,425,425,425,,,,,,,,1275
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,421,421,421,,,,,,,,,1263
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,,,1053,,,,,,,,,1053
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,,,,994,,,,,,,,994
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,453,,455,,,,,,,,,908
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,,,,894,,,,,,,,894
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,,268,268,268,,,,,,,,804
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,,,,755,,,,,,,,755
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,,,,732,,,,,,,,732
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,,,658,,,,,,,,,658
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,,587,,,,,,,,,,587
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,,,,576,,,,,,,,576
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,,,,447,,,,,,,,447
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,,,,,,,,,,,,
gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,,,,,,,,,,,,
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,,,,,,,,,,,,
gonka1yukev873tps58s6rlkh6czs5rrqp2sdqw7pm58,,,,,,,,,,,,
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,,,,,,,,,,,,
gonka1yrfq267gf5jz76m3j5sln7f5h00t9g6fmat4gp,,,,,,,,,,,,
gonka1ym8g5f34h5zu4p4d4ldjnycfkty9qxpmyx5a3m,,,,,,,,,,,,
gonka1yewc6rmr5zhcpy6dnpt4wup990j299qt03x40s,,,,,,,,,,,,
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,,,,,,,,,,,,
gonka1y4kyhqy022gt4kklxxflgqkutnx96ssww66zg6,,,,,,,,,,,,
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,,,,,,,,,,,,
gonka1xmgcpaw6n57ewn6s2fhggxaakemaaxuv4pdpmq,,,,,,,,,,,,
gonka1xfg6ed596n8ka7tjp7j604prf5n4mgv3h9d02t,,,,,,,,,,,,
gonka1x20c5d9wzatlr0t69xjm05x9uemq9mnk00udfa,,,,,,,,,,,,
gonka1wzujgkw64xvz3vqttg7ktl5tlsdga7l53g6d55,,,,,,,,,,,,
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,,,,,,,,,,,,
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,,,,,,,,,,,,
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,,,,,,,,,,,,
gonka1wfn87ruutktth7l8ne3rvhmlsscqxah09kua02,,,,,,,,,,,,
gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,,,,,,,,,,,,
gonka1vz2jg42w39l63dmvmjqdsnxx0ywnzt9nzypdy7,,,,,,,,,,,,
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,,,,,,,,,,,,
gonka1vcvn2p5gczr5pynqq0ca0933tdrf5w64sjgtdg,,,,,,,,,,,,
gonka1upq4e3ahzea8mu5mhrdptff94xru98lx47h43z,,,,,,,,,,,,
gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,,,,,,,,,,,,
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,,,,,,,,,,,,
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,,,,,,,,,,,,
gonka1uawu7tlxcuss8xk9m63fpjm86y58chsg5xwsjt,,,,,,,,,,,,
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,,,,,,,,,,,,
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,,,,,,,,,,,,
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,,,,,,,,,,,,
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,,,,,,,,,,,,
gonka1t8p0tjqls358gmzvd3rnnjulraq2k3m772vnt8,,,,,,,,,,,,
gonka1sq6myvv8r263v4ll5l3ny790nsg5s4507crtqr,,,,,,,,,,,,
gonka1sa32xmpxvv7nepfc22004rgdl4ddjvne42guce,,,,,,,,,,,,
gonka1s43peau7vafujfxyape603yklhdzjh2stq702z,,,,,,,,,,,,
gonka1qv2dwvqxt542k5ewhggm2wtcpadvzg6mzupzg8,,,,,,,,,,,,
gonka1qsuduuah26qpym3te4tr6u8lh3hmecaxn9j7te,,,,,,,,,,,,
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,,,,,,,,,,,,
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,,,,,,,,,,,,
gonka1pcu4wfdv2jtpfsnhgjk4zp7d46z47928xj73st,,,,,,,,,,,,
gonka1p3hklp6flhdffdkwr70azcsum77fha3ecqwgg0,,,,,,,,,,,,
gonka1nvvrc06zpk7cwmrekehlr8yqw4mgdfq94dc4ay,,,,,,,,,,,,
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,,,,,,,,,,,,
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,,,,,,,,,,,,
gonka1mdy7nlecw4xaqdxmeh3qlqzakg9ftge9szfqgg,,,,,,,,,,,,
gonka1lyc347ysjruw7hvvejekqwu0y62cq0898dzarl,,,,,,,,,,,,
gonka1lwl6qhrdqw43sqc2y4eclfrngf799rnm7mmx87,,,,,,,,,,,,
gonka1l7p83akwkcxtksnwve23x5wp47zammznm4qus8,,,,,,,,,,,,
gonka1l6pp6p5hgaa69rj0eazn73f7gkawue94fq5v9g,,,,,,,,,,,,
gonka1l0enytn32rklk95dxrdt3v39hktxdw79trvgj5,,,,,,,,,,,,
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,,,,,,,,,,,,
gonka1kdmstpljv33v8lz457lmj8f9g995l7ygwm460s,,,,,,,,,,,,
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,,,,,,,,,,,,
gonka1jcelp2ad2x0jf2vnyhkhd6wquug0zpd09sxxw4,,,,,,,,,,,,
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,,,,,,,,,,,,
gonka1fwjwxw6cvspwautdrhr2jf4mfayy074t5npwnx,,,,,,,,,,,,
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,,,,,,,,,,,,
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,,,,,,,,,,,,
gonka1edyd5lny4esrc35f6egjukmnfseyyyj4vn54mc,,,,,,,,,,,,
gonka1ecercvenlsnghx4yakvdpdq2mantyh5ythhn29,,,,,,,,,,,,
gonka1e94a7r2tn3n8ewa3mha3vjnq2dkvgt5stfqgqg,,,,,,,,,,,,
gonka1e38cgywjkf4hejnf9utmpguq3qug0s5rd45kqm,,,,,,,,,,,,
gonka1dzdmx5ljrwkelrmgd7suv2q43epn293qacpgqn,,,,,,,,,,,,
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,,,,,,,,,,,,
gonka1dhn7hjn6udpyv6gkhfulnalufv4947a4e9kyne,,,,,,,,,,,,
gonka1d7ghexkrnm00fh695zcd00xgfgwxe2vvamcsdt,,,,,,,,,,,,
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,,,,,,,,,,,,
gonka1975m3w08ywrc89aqcr9m8z6z70a38jf64vwte8,,,,,,,,,,,,
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,,,,,,,,,,,,
gonka18tm9tu9rak460pjdpj6xvfeffk474h6xhgme3c,,,,,,,,,,,,
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,,,,,,,,,,,,
gonka17akw9frq5grupdh9fwtc4mym3fgcujf9esdmta,,,,,,,,,,,,
gonka175dvjafzhfxwgvrj83cm9ekmgh2a4u7nqv4azu,,,,,,,,,,,,
gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,,,,,,,,,,,,
gonka14wp5g2auyarncnwk6ufl8stmyrlgzx0l0d3f80,,,,,,,,,,,,
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,,,,,,,,,,,,
gonka13jelpte0qx5f0up3pzmmgnnqj5877rwfs08n7q,,,,,,,,,,,,
gonka12vq65qqgep5x2zvjxqzqtnsw2hpyz92czen8z5,,,,,,,,,,,,
gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,,,,,,,,,,,,
gonka12fdlw5g8wex6v74nd42vfhnympsz5kn8p3adh5,,,,,,,,,,,,
gonka123vh2t9er866647lsn6kclt8lfq2l9kwy4le76,,,,,,,,,,,,
gonka123fment8nj6mrekwv9rh5zmevxjd7t05c8azrd,,,,,,,,,,,,
gonka10ux22dq9a5dn5t4v370vzkww874yc6pmudxjen,,,,,,,,,,,,
gonka10cyq8zuplcwr5ntesxn52wp5ky3a7c3nrqdce8,,,,,,,,,,,,
gonka107et3r7gxsrkce7wq42jjf5k98r5xvsfy6xsn5,,,,,,,,,,,,
gonka100xav7dpl82gxrtg72yjhpz2zn6f24gv035ted,,,,,,,,,,,,
