address,epoch_245_poc_slot_allocation_weight,epoch_246_poc_slot_allocation_weight,epoch_247_poc_slot_allocation_weight,epoch_248_poc_slot_allocation_weight,epoch_249_event_1_preserved_weight,epoch_249_event_2_preserved_weight,epoch_249_event_3_preserved_weight,epoch_250_event_1_preserved_weight,epoch_250_event_2_preserved_weight,epoch_251_event_1_preserved_weight,epoch_251_event_2_preserved_weight,epoch_252_event_1_preserved_weight,epoch_252_event_2_preserved_weight,epoch_252_event_3_preserved_weight,epoch_253_event_1_preserved_weight,epoch_253_event_2_preserved_weight,epoch_254_event_1_preserved_weight,epoch_254_event_2_preserved_weight,epoch_254_event_3_preserved_weight,epoch_254_event_4_preserved_weight,epoch_255_event_1_preserved_weight,epoch_255_event_2_preserved_weight,epoch_255_event_3_preserved_weight,epoch_255_event_4_preserved_weight,total_preserved_event_weight
gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,2685,2685,2685,,964,964,964,964,,4936,,4936,4936,,,2318,2318,2318,32671,32671,32860,,30353,30353,192581
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,3007,,,,4503,4503,4503,4489,4489,,7451,4457,4457,4457,13838,10929,11069,6540,6540,4529,11069,6540,11069,6540,134979
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,2644,2644,,,5425,5425,5425,5415,5415,5418,,5466,5466,5466,8216,8216,5380,5380,5380,,5358,5358,5358,5358,108213
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,3006,3006,3006,3006,,,,4698,4698,,4698,4698,,1650,4698,4698,6412,7739,7739,7739,7799,7799,7799,6472,101360
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,,2956,2872,,3846,3846,3846,3845,3845,5667,5667,2899,2899,2899,5823,5823,20126,2899,5823,5823,,,,,91404
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,,,,,,,,,,6483,6483,3323,,1661,3323,,6980,6980,6980,6980,7031,7031,7031,7031,77317
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,,,,4807,3313,3313,3313,,3298,4869,,,5410,5410,,8128,,5410,,5410,5378,5378,5378,5378,74193
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,2746,2725,,2694,5480,5480,5480,5412,5412,,,,2717,,2717,,,,5445,5445,,5433,5433,5433,68052
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,,3108,3108,3108,,,,7991,7991,8010,8010,,8010,8010,,,,,,,,,,,57346
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,,,,,5475,5475,5475,,2713,5423,5423,2711,2711,2711,2721,2721,2659,,2659,2659,,,,5355,56891
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,,2159,2159,,2922,2922,2922,2922,2922,2903,2903,4317,,2140,,,4231,4231,,4231,4231,4231,,4231,56577
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,,,,2460,4895,4895,4895,4895,2447,4895,,,,2447,4869,,,2434,2434,,2434,2434,2434,4910,53778
