participant_index,epoch,snapshot_available,snapshot_error,effective_block_height,real_reward_chain,simulated_reward_chain_formula,parent_base_weight,parent_confirmation_weight,current_inference_slot_weight,historical_inference_slot_weight,lost_inference_slot_weight,expected_lost_reward_ngnk,expected_lost_reward_gnk,excluded_reason,inference_count,missed_requests
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,248,True,,3828723,0,0,2046,0,2046,2046,0,0,0,,168,1
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,248,True,,3828723,0,0,447,0,447,447,0,0,0,failed_confirmation_poc,10,0
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,248,True,,3828723,0,0,3108,0,3108,3108,0,0,0,,187,5
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,248,True,,3828723,0,0,1570,0,1570,1570,0,0,0,failed_confirmation_poc,67,6
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,248,True,,3828723,0,0,421,0,0,0,0,0,0,failed_confirmation_poc,0,3
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,248,True,,3828723,0,0,3102,0,3102,3102,0,0,0,,200,0
gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,248,True,,3828723,0,0,135385,116900,0,0,0,0,0,consecutive_failures,3982,2
gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,248,True,,3828723,0,0,2426,0,2426,2426,0,0,0,failed_confirmation_poc,18,90
gonka12gc47yq8m7rnsa3aucq8mlzm7men8jaac7qkkz,248,True,,3828723,0,0,3133,0,0,0,0,0,0,failed_confirmation_poc,11,2
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,248,True,,3828723,2384214684667,2384214684667,12046,7124,4807,4807,0,0,0,,1277,1
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,248,True,,3828723,0,0,2337,0,0,0,0,0,0,failed_confirmation_poc,499,0
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,248,True,,3828723,3349078656579,3349078656579,13218,10007,0,0,0,0,0,,935,0
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,248,True,,3828723,1604425210316,1604425210316,6679,4794,0,0,0,0,0,,415,0
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,248,True,,3828723,6410338022196,6410338022196,19154,19154,0,0,0,0,0,,1448,4
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,248,True,,3828723,0,0,1650,0,0,0,0,0,0,failed_confirmation_poc,2,9
gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,248,True,,3828723,0,0,9570,0,0,0,0,0,0,failed_confirmation_poc,546,0
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,248,True,,3828723,4089041973227,4089041973227,13222,12218,448,448,0,0,0,,1407,0
gonka168yvlgt9jg86frg2z90cc8w4pz9hnd7f8lshux,248,True,,3828723,0,0,1491,0,0,0,0,0,0,failed_confirmation_poc,1,3
gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,248,True,,3828723,322625344752,322625344752,2685,964,0,0,0,0,0,,184,1
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,248,True,,3828723,0,0,1553,0,1553,1553,0,0,0,failed_confirmation_poc,8,31
gonka17ef5hl0588tmjm9ypw7t2kge78wrkcpvyspc0p,248,True,,3828723,0,0,2304,0,2304,2304,0,0,0,failed_confirmation_poc,10,109
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,248,True,,3828723,0,0,1699,0,1699,1699,0,0,0,failed_confirmation_poc,83,5
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,248,True,,3828723,35625334749228,35625334749228,107283,106448,835,835,0,0,0,,9550,6
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,248,True,,3828723,0,0,5606,0,449,449,0,0,0,failed_confirmation_poc,95,85
gonka17tlh09e32xpv2uj433ytjnwwd8fh24jclpzm5s,248,True,,3828723,0,0,1923,0,1923,1923,0,0,0,failed_confirmation_poc,96,12
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,248,True,,3828723,0,0,1511,0,0,0,0,0,0,failed_confirmation_poc,9,0
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,248,True,,3828723,3348074635796,3348074635796,12812,10004,0,0,0,0,0,,954,0
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,248,True,,3828723,0,0,3887,0,3887,3887,0,0,0,,233,24
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,248,True,,3828723,0,0,1481,0,0,0,0,0,0,failed_confirmation_poc,8,0
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,248,True,,3828723,0,0,1530,0,0,0,0,0,0,failed_confirmation_poc,12,0
gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,248,True,,3828723,219211204163,219211204163,1825,655,0,0,0,0,0,,96,0
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,248,True,,3828723,0,0,4030,0,0,0,0,0,0,failed_confirmation_poc,170,0
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,248,True,,3828723,299198193162,299198193162,894,894,0,0,0,0,0,,55,1
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,248,True,,3828723,0,0,2126,0,2126,2126,0,0,0,,145,0
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,248,True,,3828723,0,0,1792,0,1792,1792,0,0,0,failed_confirmation_poc,65,11
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,248,True,,3828723,210844364309,210844364309,924,630,0,0,0,0,0,,67,0
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,248,True,,3828723,0,0,627,0,627,627,0,0,0,,37,0
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,248,True,,3828723,0,0,1184,0,1184,1184,0,0,0,failed_confirmation_poc,31,28
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,248,True,,3828723,0,0,2549,0,0,0,0,0,0,failed_confirmation_poc,17,0
gonka1dzdmx5ljrwkelrmgd7suv2q43epn293qacpgqn,248,True,,3828723,0,0,15009,0,0,0,0,0,0,statistical_invalidations,8,0
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,248,True,,3828723,0,0,931,0,931,931,0,0,0,failed_confirmation_poc,12,22
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,248,True,,3828723,0,0,1550,0,0,0,0,0,0,failed_confirmation_poc,3,0
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,248,True,,3828723,0,0,115265,90143,3006,3006,0,0,0,statistical_invalidations,1295,0
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,248,True,,3828723,0,0,2057,96,268,268,0,0,0,failed_confirmation_poc,80,0
gonka1fkrsesmn2hdj30fhwyam6h4f2e77un36xalhvl,248,True,,3828723,972896138170,972896138170,4198,2907,0,0,0,0,0,,263,0
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,248,True,,3828723,0,0,2215,0,2215,2215,0,0,0,failed_confirmation_poc,20,82
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,248,True,,3828723,0,0,2452,0,0,0,0,0,0,failed_confirmation_poc,12,0
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,248,True,,3828723,0,0,425,0,425,425,0,0,0,failed_confirmation_poc,11,14
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,248,True,,3828723,0,0,1680,0,1680,1680,0,0,0,failed_confirmation_poc,56,9
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,248,True,,3828723,335677614924,335677614924,2794,1003,0,0,0,0,0,,148,0
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,248,True,,3828723,3045864380286,3045864380286,16164,9101,2694,2694,0,0,0,,1636,9
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,248,True,,3828723,5805917511175,5805917511175,19263,17348,0,0,0,0,0,,1234,0
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,248,True,,3828723,0,0,984,0,984,984,0,0,0,failed_confirmation_poc,22,9
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,248,True,,3828723,0,0,2087,2041,0,0,0,0,0,,0,96
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,248,True,,3828723,0,0,576,0,576,576,0,0,0,,23,1
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,248,True,,3828723,0,0,2391,0,0,0,0,0,0,failed_confirmation_poc,10,0
